id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,view_id,res_id,limit,search_view_id,domain,context,res_model,target,view_mode,mobile_view_mode,usage,filter
539,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""New Event""}",,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443,2360,,80,,,{'default_address_id': False},event.event,new,form,kanban,,
541,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Shipping Methods""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Define a new delivery method\n            </p><p>\n            Each carrier (e.g. UPS) can have several delivery methods (e.g.\n            UPS Express, UPS Standard) with a set of pricing rules attached\n            to each method.\n            </p><p>\n            These methods allow to automatically compute the delivery price\n            according to your settings; on the sales order (based on the\n            quotation) or the invoice (based on the delivery orders).\n            </p>\n        ""}",2024-04-18 07:47:21.297424,2024-04-18 07:47:21.297424,,,80,,,{'search_default_group_by_provider': True},delivery.carrier,current,"tree,form",kanban,,
542,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Zip Prefix""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Manage delivery zip prefixes\n            </p><p>\n            Delivery zip prefixes are assigned to delivery carriers to restrict\n            which zips it is available to.\n            </p>\n        ""}",2024-04-18 07:47:21.297424,2024-04-18 07:47:21.297424,,,80,,,{},delivery.zip.prefix,current,"tree,form",kanban,,
543,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quotation Templates""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create your quotation template\n            </p><p>\n                Use templates to create polished, professional quotes in minutes.\n                Send these quotes by email and let your customers sign online.\n                Use cross-selling and discounts to push and boost your sales.\n            </p>\n        ""}",2024-04-18 07:47:23.340948,2024-04-18 07:47:23.340948,,,80,,,{},sale.order.template,current,"tree,form",kanban,,
544,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Settings""}",,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,,"{'module': 'website_slides', 'bin_size': False}",res.config.settings,inline,form,kanban,,
545,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Reviews""}","{""en_US"": ""<p class=\""o_view_nocontent_empty_folder\"">\n                No Reviews yet!\n            </p>\n            <p>Come back later to check the feedbacks given by your Attendees.</p>\n        ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,2419,"[('consumed', '=', True), ('res_model', '=', 'slide.channel')]",{},rating.rating,current,"kanban,tree,graph,pivot,form",kanban,,
546,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Embed Views""}",,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,,{},slide.embed,current,"tree,search",kanban,,
547,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quizzes""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                No Quiz data yet!\n            </p>\n            <p>\n                Come back later to oversee how well your Attendees are doing.\n            </p>\n        ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,2428,,80,,,{},slide.question,current,"tree,graph,pivot,form",kanban,,
548,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Attendees""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                <strong>No Attendee Yet!</strong>\n            </p>\n            <p>\n                From here you'll be able to monitor attendees and to track their progress.\n            </p>\n        ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,2430,"[('slide_id', '=', active_id)]",{'default_slide_id': active_id},slide.slide.partner,current,"tree,form,kanban",kanban,,
549,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Content Tags""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    Create a Content Tag\n                </p>\n                <p>\n                    Use Content Tags to classify your Content.\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,,{},slide.tag,current,"tree,form",kanban,,
550,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Contents""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    Add Content\n                </p>\n                <p>\n                    Content are the lessons that compose a course\n                    <br>and can be of different types (presentations, documents, videos, ...).\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,"[('is_category', '=', False)]",{'search_default_own_publications':True},slide.slide,current,"kanban,tree,form",kanban,,
551,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Contents""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    No data yet!\n                </p><p>\n                    Create new content for your eLearning\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,"[('is_category', '=', False)]","{""search_default_published"": 1}",slide.slide,current,"graph,tree,form,pivot",kanban,,
552,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Attendees""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    <strong>No Attendees Yet!</strong>\n                </p>\n                <p>\n                    From here you'll be able to monitor attendees and to track their progress.\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,2443,,{},slide.channel.partner,current,"tree,kanban",kanban,,
644,,1,1,ir.actions.act_window,action,form,"{""en_US"": ""All Media""}",,2024-04-18 10:42:39.074562,2024-04-18 10:42:39.074562,,,80,2981,,{},op.media,current,"tree,form,pivot,graph",kanban,,
