id,relation_field_id,model_id,related_field_id,size,create_uid,write_uid,name,complete_name,model,relation,relation_field,ttype,related,state,on_delete,domain,relation_table,column1,column2,depends,currency_field,field_description,help,compute,copied,required,readonly,index,translate,group_expand,selectable,store,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,create_date,write_date,tracking,website_form_blacklisted
8684,,598,,,,,display_name,,account.move.reversal,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8685,,598,,,,,create_uid,,account.move.reversal,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8686,,598,,,,,create_date,,account.move.reversal,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8687,,598,,,,,write_uid,,account.move.reversal,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8688,,598,,,,,write_date,,account.move.reversal,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8689,,599,,,,,sequence_number_reset,,account.resequence.wizard,,,char,,base,,,,,,,,"{""en_US"": ""Sequence Number Reset""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8690,,599,,,,,first_date,,account.resequence.wizard,,,date,,base,,,,,,,,"{""en_US"": ""First Date""}","{""en_US"": ""Date (inclusive) from which the numbers are resequenced.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8691,,599,,,,,end_date,,account.resequence.wizard,,,date,,base,,,,,,,,"{""en_US"": ""End Date""}","{""en_US"": ""Date (inclusive) to which the numbers are resequenced. If not set, all Journal Entries up to the end of the period are resequenced.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8692,,599,,,,,first_name,,account.resequence.wizard,,,char,,base,,,,,,,,"{""en_US"": ""First New Sequence""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8693,,599,,,,,ordering,,account.resequence.wizard,,,selection,,base,,,,,,,,"{""en_US"": ""Ordering""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8694,,599,,,,,move_ids,,account.resequence.wizard,account.move,,many2many,,base,,,account_move_account_resequence_wizard_rel,account_resequence_wizard_id,account_move_id,,,"{""en_US"": ""Move""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8695,,599,,,,,new_values,,account.resequence.wizard,,,text,,base,,,,,,,,"{""en_US"": ""New Values""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8696,,599,,,,,preview_moves,,account.resequence.wizard,,,text,,base,,,,,,,,"{""en_US"": ""Preview Moves""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8697,,599,,,,,id,,account.resequence.wizard,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8698,,599,,,,,display_name,,account.resequence.wizard,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8699,,599,,,,,create_uid,,account.resequence.wizard,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8700,,599,,,,,create_date,,account.resequence.wizard,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8701,,599,,,,,write_uid,,account.resequence.wizard,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8702,,599,,,,,write_date,,account.resequence.wizard,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8703,,600,,,,,company_id,,account.financial.year.op,res.company,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Company""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8704,,600,,,,,opening_move_posted,,account.financial.year.op,,,boolean,,base,,,,,,,,"{""en_US"": ""Opening Move Posted""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8705,,600,,,,,opening_date,,account.financial.year.op,,,date,company_id.account_opening_date,base,,,,,,,,"{""en_US"": ""Opening Date""}","{""en_US"": ""Date from which the accounting is managed in Odoo. It is the date of the opening entry.""}",,f,t,f,f,f,,t,f,,,,,,,,,,,,t
8706,,600,,,,,fiscalyear_last_day,,account.financial.year.op,,,integer,company_id.fiscalyear_last_day,base,,,,,,,,"{""en_US"": ""Fiscalyear Last Day""}","{""en_US"": ""The last day of the month will be used if the chosen day doesn't exist.""}",,f,t,f,f,f,,t,f,,,,,,,,,,,,t
8707,,600,,,,,fiscalyear_last_month,,account.financial.year.op,,,selection,company_id.fiscalyear_last_month,base,,,,,,,,"{""en_US"": ""Fiscalyear Last Month""}","{""en_US"": ""The last day of the month will be used if the chosen day doesn't exist.""}",,f,t,f,f,f,,t,f,,,,,,,,,,,,t
8708,,600,,,,,id,,account.financial.year.op,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8709,,600,,,,,display_name,,account.financial.year.op,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8710,,600,,,,,create_uid,,account.financial.year.op,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
